Size,Influence,NodeRuntime,InfRuntime
0,0,0.06879528199999996,1.1088973279999998
1,9,0.08790107000000091,1.043856296
2,4,0.07407796700000091,1.050337555
3,13,0.08669640300000125,1.0218473539999997
4,27,0.1172316880000004,1.015243647
5,31,0.1241395890000021,1.0403398890000002
6,30,0.11626039999999804,1.018616593
7,20,0.09744974099999837,1.0159196570000004
8,76,0.2465864869999983,1.4430838020000003
9,28,0.11334914700000097,1.1931534819999996
10,48,0.15389954300000142,1.0789035709999997
11,36,0.12109176199999895,1.0472087079999994
12,82,0.2253087580000006,1.1660694369999989
13,85,0.2348678520000007,1.1752627550000003
14,60,0.15785092199999795,1.0373645809999985
15,56,0.15103603599999715,1.0260608319999989
16,75,0.21007161800000065,1.0488044320000007
17,119,0.28933762599999824,1.0646839920000026
18,100,0.23943783999999724,1.0737819690000023
19,99,0.2573342260000011,1.0744857559999978
20,116,0.2910784460000002,1.0703958960000008
