Size,Influence,NodeRuntime,InfRuntime
0,0,0.11391585999999876,2.410623139
1,1158,2.492608052999998,2.379710776
2,2436,4.701284289,2.251134866
3,3324,7.124441212999997,2.346296584
4,3964,8.398687692999992,2.3608174670000004
5,4545,9.197152381999999,2.185115543
6,5156,10.322433689999997,2.2036166639999983
7,5428,11.340000186999987,2.2816532810000005
8,5709,11.345155746000003,2.3308960909999996
9,5971,12.022320152999995,2.3483491649999984
10,6216,12.960667051999991,2.3627767140000024
11,6418,12.725602734000006,2.2525282160000017
12,6743,12.753497984999996,2.312685130000002
13,6944,13.466619098999985,2.3469510609999986
14,7108,14.748701522999994,2.3422978369999967
15,7294,15.185313949000005,2.350423582999994
16,7473,15.799506871000006,2.3343746850000002
17,7629,14.934375017000008,2.3380338710000004
18,7769,15.680812694999986,2.353788860999998
19,7980,15.252997721999975,2.320428088
20,8114,15.51629361700003,2.3364238099999994
