Size,Influence,NodeRuntime,InfRuntime
0,0,0.07507892800003901,0.07748802999999999
1,97,0.32493936700007,82.928511978
2,172,0.4083802700001797,82.11807918800001
3,223,0.5380001030000585,81.193522298
4,307,0.7441000680000798,82.73217384399999
5,366,0.9330158750001374,82.17579520499999
6,429,1.0464128500000245,81.64278181700001
7,491,1.166220241000019,83.66255915999993
8,536,1.3000051020001138,79.52177548899999
9,593,1.521550963999971,83.42605100900005
10,654,1.5643294829999377,86.62704847000009
11,699,1.7596618590000617,86.12911223499998
12,772,2.209029071000032,83.93727779199992
13,826,2.0301179049999973,83.92257556799996
14,873,2.6949797549998493,84.35225940099986
15,916,2.1989384799999243,84.52799955299997
16,985,2.18562447699992,88.06832569100015
17,1003,2.3410596420001184,83.27709587999993
18,1083,2.352409639000143,88.86212018399988
19,1109,3.071814875999962,84.79512888299996
20,1157,2.476066454999909,91.18916912500003
