Size,Influence,NodeRuntime,InfRuntime
0,0,0.4109082510000004,0.5453328450000001
1,1,0.41321597499999996,0.5379348839999999
2,4,0.41768210899999936,0.528121735
3,4,0.4180080340000014,0.528705017
4,8,0.4231471469999999,0.5228391699999997
5,7,0.42271929600000036,0.525555411
6,13,0.4289876719999999,0.526559432
7,12,0.4275376179999988,0.5232176199999996
8,15,0.43091415499999997,0.5271085090000005
9,10,0.4262174450000007,0.5241202170000001
10,20,0.4417321999999988,0.5288949050000005
11,22,0.44370013600000036,0.5237162990000002
12,23,0.4482988239999983,0.524011926
13,26,0.45322948899999815,0.5548062409999996
14,21,0.4468390169999985,0.5303051630000004
15,38,0.46815319199999905,0.526857111
16,31,0.4713925809999999,0.5264055750000001
17,34,0.48617951299999973,0.5232921079999997
18,32,0.4620182430000028,0.5231509990000003
19,31,0.47848627699999824,0.5229449010000007
20,40,0.48387705000000025,0.529330109
