Size,Influence,NodeRuntime,InfRuntime
0,0,0.45367563000002065,0.25926846699999995
1,19,0.469863149000048,30.678743705000002
2,37,0.5475497099999984,31.825932934999997
3,54,0.6258721020000166,30.944174020999995
4,71,0.5889337830000159,30.63208335600001
5,87,0.6076375579999649,33.31952962400001
6,103,0.7067688150000322,30.998176122000018
7,119,0.6894184229998928,31.67072626999999
8,134,0.6877026349999369,31.053838326999994
9,149,0.7274845410000808,30.420410960000027
10,163,0.7857181399999718,28.945661243000018
11,177,0.7976579820000325,28.90100656300001
12,191,0.8278859690000218,28.83565272499999
13,204,0.8507353589999411,28.808051095999986
14,217,0.8862772279999263,35.012159886000006
15,230,0.9120924349999768,31.079537534999986
16,243,0.9498301980000861,29.619668793000017
17,255,0.9874479660001043,29.004208537000068
18,267,0.9517947370000002,29.446936844999982
19,279,0.976462495000078,30.73904463000008
20,291,1.0068454949999932,30.23708495300002
