Size,Influence,NodeRuntime,InfRuntime
0,0,1.0867340280000235,0.035336772000000016
1,62,1.5400621720000345,30.799231951000003
2,108,1.8593111330000056,31.521044482
3,170,1.7842768410000645,30.366127475999996
4,217,1.9236807279999084,32.908104784
5,262,2.1277179459999616,31.473367112999995
6,299,2.3515371739999864,32.59225149699998
7,334,2.6065098330000183,30.113014486000026
8,362,2.7903529769999977,30.210563825999998
9,393,2.7974413299999696,30.745588373999993
10,436,2.9011282410000376,30.687225920000003
11,474,3.2516495389999136,32.34072324900001
12,504,3.3973949569999604,32.18703843899999
13,534,3.2691642409999986,35.68824393800003
14,562,3.650142542000026,36.70212247300003
15,581,3.788637908999931,35.76804249700001
16,626,3.742756829999962,39.16302310999998
17,658,4.070022511000047,38.27359317000003
18,672,3.8350936240000237,35.57411782400004
19,704,4.134434372999976,38.34179617399991
20,727,4.442908342999999,42.84585351999999
