Size,Influence,NodeRuntime,InfRuntime
20,661,3.517004229,1.992344767
20,658,3.619414504,1.9414923499999999
20,661,3.5005229590000013,1.987356235
20,661,3.5083937039999995,1.9227453759999982
20,658,3.4786932569999998,1.932232784
20,659,3.4836750870000017,1.909520133000001
20,658,4.4010852469999975,1.9339647269999958
20,661,3.5395272680000005,1.8519596540000052
20,659,3.623225533000003,1.963089215999993
20,658,3.5218413099999992,1.8824869829999997
20,660,3.5337970169999977,1.8992244450000015
20,662,3.502709038000006,1.8400854289999984
20,661,3.932351576000002,1.9556616010000027
20,661,3.5078260450000016,1.9518053799999961
20,659,3.5098486250000036,1.9347356119999972
20,661,3.4964577089999977,1.9304409119999946
20,661,3.503899082999993,1.9215768330000031
20,661,3.5073816419999986,1.9251828289999935
20,660,3.608818870999997,1.9312694159999921
20,660,4.903381894000006,2.1409996680000063
20,660,3.5380397699999975,2.067027674000002
20,658,3.490939541000003,1.8691391970000097
20,660,3.5095362309999842,1.9357606429999947
20,661,3.5101597340000126,1.9594908450000048
20,662,3.535890046999981,1.9472311629999979
20,662,3.5140524310000103,1.9369821740000077
20,659,3.525701550000008,1.9501699989999963
20,660,3.5396876840000004,1.9634159500000123
20,662,3.5272731640000075,1.9800789749999979
20,659,3.5020328649999897,1.9381752090000077
20,661,3.520913664999995,1.9378546000000085
20,660,3.4984518299999934,1.8612953049999987
20,660,3.510502532000004,1.9579019409999887
20,661,3.5082260380000037,1.936775358999995
20,659,3.5078409959999988,1.9323220850000098
20,662,3.545502503000023,1.941472033999986
20,659,3.568474296000005,1.8617007370000067
20,661,3.744995313000004,2.940573743000016
20,662,3.8513062709999986,1.9929515039999899
20,660,3.9468627489999903,2.225018575000007
20,660,3.885153204000005,2.100263321
20,661,4.018260556000001,2.243205108000012
20,660,4.020697070000011,2.0260184800000047
20,661,4.317061407000011,2.0905221419999975
20,659,3.957544764000005,2.3579794320000076
20,661,3.9139513060000013,2.2589791580000167
20,659,4.003412303999994,2.082027337999989
20,660,4.008648147999963,2.154490973999998
20,658,3.933898443999965,2.1187906260000204
20,660,4.664187587000015,2.220884080000019
