Random,,Degree,,PageRank,,Greedy++,,Greedy,
X,Y,X,Y,X,Y,X,Y,X,Y
-0.06566968207841395,5.0570096255032695,-0.06555382847874558,2.2301817936065618,-0.06578553567808143,7.8838374573995225,-0.06555382847874558,2.2301817936065618,-0.06566968207841395,5.0570096255032695
0.950598094208285,8.123268230046506,0.9797932013245925,95.7626545921471,0.9814151517199425,56.18706494559706,0.9466590718195773,104.23541451452502,0.9466590718195773,104.23541451452502
1.999768292800665,8.370422576004557,1.9616524585099295,138.3967792699293,1.9936280520182663,158.19229766651506,1.927359793008236,175.13781751127135,1.927359793008236,175.13781751127135
2.9830177931820163,17.082613271029913,2.9437434228946024,175.37724828391833,2.942816594097259,197.99187093908972,2.9410787901022406,240.39428841753625,2.908292221396229,240.38656484422518
3.966499000762706,20.141148302261854,3.990828256692959,226.50730360401235,3.9563038839919322,268.90199750914735,3.9550294943955855,299.9971036600082,3.987352648702924,311.31213856090517
4.982882630649071,20.380579074908837,4.9728033674779635,266.3146004498981,4.937004605180588,339.8044005058939,4.93584606918391,368.07267882485803,4.935382654785238,379.3799901524437
5.966363838229759,23.439114106141005,5.9552418926616415,294.8145859681981,5.983394317380938,407.89542281736635,5.916894351171571,430.4945983259154,5.9493333590785795,438.9828053949159
6.949960899410113,23.67082130547692,6.969308450554649,351.59057337877357,6.964558452968268,467.4905144865271,6.8982901939582355,484.4360343312833,6.930613348265576,495.75106923218016
7.933557960590468,23.902528504812608,7.951399414939324,388.5710423927628,7.913051873449252,524.2510547504802,7.9121250446519085,546.8656774056516,7.91154577665357,560.9998165651336
8.982612305583178,26.976510682666913,8.965813533631335,436.86654630764906,8.960947682445283,555.593315247299,8.925959895345583,609.2953204800199,8.958630610451925,612.1298718852277
9.966093513163868,30.035045713899535,9.946977669218667,496.4616379768099,9.942691086030953,601.0542677569778,9.939910599638923,668.8981357224919,9.939794746039256,671.7249635543884
10.949343013545219,38.74723640892444,10.928489365604998,547.5762461502812,10.956757643923966,657.8302551675531,10.95444057193061,714.3668118054816,10.92119058882592,725.6663995597561
11.998513212137597,38.994390754882716,11.942787630697348,598.6985778970638,11.938037633110964,714.5985190048174,11.935720561117604,771.135075642746,11.935025439519597,788.0960426341245
12.949207851012273,42.04520221280359,12.95766516378803,635.6867704843644,12.952915166201647,751.5867115921179,12.917348111103605,819.422855984321,12.916537135905932,839.210650807596
13.932573204993295,47.930565075932236,13.971500014481704,698.1164135587328,13.967560992092993,794.2285598432113,13.931993936994955,862.0647042354143,13.930835400998275,890.3329825543785
15.013950704293345,62.31958215468376,14.953822686065712,729.4432269089292,14.916517826972656,839.6817887795787,14.946060494887961,918.8406916459898,14.912347097384613,941.44759072785
15.964645343168018,65.37039361260463,15.93660877204839,749.4627289315399,15.931627067262673,871.0163257030863,15.927688044873962,967.1284719875649,15.926529508877286,995.3967503065292
16.980797265855053,71.26348004904435,16.95171801233841,780.7972658550476,16.912675349250335,933.4382452041435,16.941870456366637,1021.0776315662439,16.908272912462955,1040.8577028162076
17.964162619836074,77.14884291217322,17.967406520626767,797.9976636190731,17.893839484837663,993.0333368733043,17.956052867859313,1075.026791144923,17.889668755249623,1094.7991388215755
18.947643827416762,80.20737794340516,18.950192606609455,818.017165641684,18.90825360352968,1041.3288407881905,18.90500970273898,1120.4800200812904,18.90443043474064,1134.6141592407726
19.931009181397776,86.09274080653381,19.933094546191803,835.2098398323983,19.955685998127038,1083.978412612595,19.887216520723314,1154.6336612633831,19.919192114231656,1174.4291796599696
