Random,,Degree,,PageRank,,Greedy++,,Greedy,
X,Y,X,Y,X,Y,X,Y,X,Y
0.09030064295207207,6.1900599849141145,0.05545910609307825,-7.5549861711442645,0.055698566827504514,20.030890434740286,0.055578836460291825,6.23795213179892,0.09054010368649745,33.775936590797755
1.0625112247219262,4.8490798721277315,1.0670609786760226,4528.980735383915,1.101782785167802,4528.932843237029,1.1019025155350155,4542.725781539972,1.1019025155350155,4542.725781539972
2.034841536858994,17.301038062283624,2.108715173429437,4527.543970977358,2.073993366937658,4527.591863124244,2.1119478933441878,4899.953305156787,2.076986626117983,4872.415320697788
3.0420133858550544,43.498042408496076,3.115767292058284,4539.948037020629,3.115767292058284,4539.948037020629,3.0848768573173233,4981.369954861651,3.1197183941763145,4995.115001017708
4.049185234851115,69.69504675470853,4.087977873828138,4538.607056907844,4.088097604195352,4552.399995210786,4.0926473581494465,5076.5316507225725,4.0922881670478075,5035.1528358137475
5.09083942960453,68.25828234815253,5.0949102620897735,4537.218184648173,5.095029992456987,4551.011122951115,5.100058667879934,5130.314531674669,5.099938937512722,5116.521593371726
6.028447935249816,80.75813268519232,6.067240574226841,4549.6701428383285,6.032638498102275,4563.510973288156,6.0380263646268615,5184.193196920535,6.072628440751427,5170.352366470708
7.035380323511451,79.36926042552113,7.039570886363909,4562.122101028484,7.074412423222902,4575.867147184541,7.080039750481915,5224.135247422804,7.0799200201147015,5210.342309119862
8.0424324421403,91.77332646879222,8.115827157241892,4546.844506172101,8.116066617976315,4574.430382777984,8.087211599477975,5250.332251769016,8.087331329845188,5264.125190071958
9.01452329354294,76.63940805306447,9.088037739011746,4545.503526059315,9.053435662887178,4559.344356509142,9.024939835490475,5276.625040408999,9.05978137234947,5290.370086565055
10.021455681804571,75.25053579339328,10.094970127273381,4544.114653799644,10.06036805114881,4557.955484249471,10.066833490978315,5302.774152608326,10.101794758204523,5330.312137067325
10.993666263574429,73.9095556806069,11.067300439410445,4556.5666119898,11.032578632918668,4556.614504136684,11.039283533482596,5329.019049101424,11.039522994217023,5356.604925707307
12.035559919062269,100.05866787993455,12.07423282767208,4555.177739730128,12.074352558039294,4568.97067803307,12.046575112845872,5369.008991750578,12.046694843213086,5382.80193005352
12.97316842470756,112.55851821697524,13.011721602950157,4553.884651764227,13.01184133331737,4567.677590067169,13.018665964248513,5353.87507333485,13.019144885717363,5409.046826546618
14.014942349828186,124.91469211336243,14.05337579770357,4552.447887357671,14.053495528070783,4566.240825660612,14.060799080470776,5407.610062140061,14.061038541205203,5435.195938745945
15.02199446845703,137.3187581566317,15.060427916332419,4564.851953400941,15.060427916332419,4564.851953400941,15.067851199099625,5420.014128183331,15.06833012056848,5475.1858813950985
15.959842434836744,177.40448509955604,16.032758228469486,4577.303911591098,15.998036421977705,4577.351803737983,16.040301241603906,5446.259024676429,16.040540702338333,5473.844901282313
17.00149662959016,175.96772069300005,17.004849079872127,4562.16999317537,17.03969061673112,4575.915039331427,17.012751284108187,5472.503921169527,17.047712551334392,5500.0419056285255
17.9735874809928,160.8338022772723,18.011901198500976,4574.57405921864,18.011901198500976,4574.57405921864,18.019923133104246,5498.700925515739,18.020162593838673,5526.286802121623
18.94591779312987,173.2857604674282,19.05355539325439,4573.137294812084,19.05355539325439,4573.137294812084,19.061697058224873,5511.057099412124,19.027334442834736,5552.483806467835
19.952850181391504,171.896888207757,19.991044168532465,4571.844206846183,19.991163898899675,4585.637145149125,20.03426683109637,5551.094934208164,20.069108367955362,5564.8399803642205
